Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
2763,48,16,190,53,1248,225,202,107,1571,3,10
2917,56,23,426,138,3217,228,184,78,808,3,10
2141,18,30,218,-39,722,182,163,103,671,4,10
3217,95,20,655,171,582,247,207,80,1873,1,22
2828,79,10,480,44,1812,233,223,121,1239,1,12
3154,81,7,30,0,4147,230,227,129,3420,3,22
3267,282,10,503,42,696,193,241,188,1511,2,23
2967,312,41,295,171,870,83,175,215,1304,3,33
2913,28,17,541,64,2632,211,201,122,1978,1,29
3187,210,14,95,-26,2330,208,252,177,2952,1,29
3299,201,21,120,39,2422,207,253,173,633,3,39
2732,21,12,408,54,2447,212,213,137,1746,3,32
3172,247,7,242,45,5796,205,246,179,2581,1,22
2970,45,10,216,31,1667,223,217,128,2550,3,23
2950,18,24,42,10,430,194,183,117,1621,3,24
3350,105,18,150,31,2259,248,215,89,977,3,39
2867,151,27,42,20,5368,242,227,96,576,1,30
2529,154,14,120,24,953,236,240,130,1527,3,4
2579,47,9,212,28,812,223,220,131,5327,1,18
3086,101,14,30,-10,3013,242,221,106,979,3,23
2562,133,11,30,4,1170,238,235,126,576,1,30
3059,9,6,85,-4,3681,214,228,152,1784,1,29
3018,76,26,591,66,443,241,181,54,890,3,33
2624,82,10,95,-2,1570,235,222,118,391,3,11
3228,163,10,175,25,3260,230,243,145,1239,3,32
2571,84,15,95,8,1084,240,213,100,1240,3,11
3246,111,24,630,92,1215,253,206,66,2359,1,39
3331,12,8,755,36,789,212,224,149,1385,3,32
2315,306,23,30,15,446,152,220,206,1622,4,10
2899,350,10,67,11,3013,202,224,159,2220,3,22
3284,261,9,513,181,4294,199,245,185,1250,1,29
3178,84,11,569,132,376,235,222,117,1532,1,22
2772,299,7,319,31,4023,200,237,177,1860,3,26
3020,152,19,1064,222,2750,240,236,117,1184,3,34
3058,126,20,90,4,892,249,222,91,1477,3,32
3139,47,12,474,71,5314,224,214,123,1667,1,29
2498,20,13,42,2,1652,211,212,136,911,3,10
3271,270,9,853,161,1570,198,243,185,2630,3,31
2919,319,4,0,0,5698,208,235,166,1332,1,29
3385,319,9,430,90,1259,198,232,174,2992,3,40
2540,66,16,175,28,295,234,207,101,1399,1,12
2703,69,12,210,38,2608,232,217,115,845,3,10
3151,41,9,180,3,5432,221,221,134,2296,1,29
3297,225,5,0,0,1358,213,245,169,1477,3,38
3303,63,3,242,79,1320,222,233,146,2422,1,40
2649,41,10,350,34,1822,221,218,131,2107,3,2
2856,216,22,60,22,691,193,254,189,552,3,23
3110,88,18,324,53,3596,244,208,88,768,1,29
3145,90,11,127,9,3783,237,222,114,180,3,33
3182,221,5,365,62,5902,214,244,167,2970,1,19
2897,64,18,626,118,1176,233,200,92,2574,3,11
2952,180,23,60,7,5916,221,247,145,3827,1,30
3088,135,13,67,12,4525,240,234,121,1099,1,29
3222,342,15,342,71,2910,187,215,167,626,3,24
3129,329,4,201,14,1221,210,235,163,2030,1,23
2432,154,15,0,0,1776,237,240,129,201,3,16
2814,72,13,30,-6,1667,235,214,109,1798,3,17
2609,38,12,134,9,1101,220,214,127,1652,3,11
3067,190,9,212,-18,2070,220,248,161,3805,1,23
2867,87,15,153,20,3865,241,215,100,6252,1,12
2893,74,8,67,4,1589,230,226,129,2045,1,29
3278,294,9,60,8,1523,196,238,182,1395,3,32
3119,47,18,379,121,4868,223,198,103,2347,1,29
2744,56,14,582,144,1575,228,209,111,2331,1,12
2967,72,18,108,15,390,238,202,88,313,3,33
3160,253,23,499,94,5992,163,248,219,1889,1,30
3294,0,11,469,104,2737,203,219,153,2315,3,24
3130,334,8,283,17,1061,202,229,167,1624,2,24
2690,52,19,150,55,849,226,195,95,1168,3,33
3130,313,8,218,15,1234,199,234,175,2049,1,23
3364,176,9,942,162,3047,225,245,153,1092,3,38
2884,56,25,190,81,201,227,180,72,474,1,29
2602,12,18,240,51,1538,198,200,135,1608,3,10
2588,228,26,309,-11,660,172,253,207,1300,3,4
2909,256,4,270,13,5622,210,242,170,6360,1,16
3504,51,19,792,289,2370,225,195,96,1640,1,40
2733,48,7,509,-21,1460,223,224,136,1503,1,29
3305,199,17,192,48,3503,212,252,170,481,3,31
3120,354,21,268,83,2343,180,197,152,1182,3,32
2938,329,24,361,171,510,156,204,184,1200,3,33
2938,46,17,492,133,2742,223,201,107,1531,3,10
3183,35,15,466,38,997,217,206,121,2589,2,23
3225,314,16,150,14,1129,175,226,190,2552,3,23
3132,165,7,120,3,4235,226,242,150,1622,1,22
2629,97,14,469,47,1355,242,219,104,4103,1,29
3132,345,11,0,0,2969,198,222,163,5399,1,29
3282,260,27,120,58,1381,145,243,229,2551,1,39
2813,104,20,277,68,3087,249,210,80,1455,3,10
3265,258,14,570,122,4454,186,248,200,1015,1,29
3422,46,25,60,-3,3293,218,178,81,2438,1,37
2926,236,10,295,26,5408,202,249,184,4771,1,29
2981,146,12,190,-12,4786,237,238,130,3085,1,30
3363,169,14,210,51,1556,230,245,144,3021,1,38
2780,174,12,134,27,3065,227,246,150,2825,1,30
3083,12,18,690,159,4049,200,202,135,2462,1,29
2831,125,19,649,53,2151,248,223,95,1776,3,13
3164,154,16,306,59,934,238,239,126,1965,1,29
3557,119,26,904,272,2461,253,207,63,1209,1,40
3311,37,14,277,104,2110,219,209,123,2016,3,33
3080,172,18,192,30,5974,229,245,141,2259,1,29
3068,49,16,0,0,1371,225,205,110,918,1,23
3262,44,16,42,0,2523,222,204,112,1635,3,24
2919,42,15,150,38,4241,221,207,117,2916,1,30
2923,41,20,450,145,1879,218,193,101,2101,3,33
3301,265,6,30,2,1329,205,243,176,1536,3,38
3142,123,20,127,37,1031,250,220,88,2148,1,29
3001,45,1,589,82,5202,219,236,154,5421,1,12
2658,230,27,256,40,3034,169,252,210,1900,3,13
3031,19,16,384,49,2876,206,203,131,684,3,32
3113,241,13,60,3,1542,194,250,193,2310,3,33
2978,42,18,0,0,255,220,199,108,1354,3,24
2622,167,3,150,10,750,222,240,154,1022,1,12
3318,345,19,631,83,3195,180,207,164,3514,3,40
2829,192,19,180,39,4326,215,251,162,5083,1,30
3064,97,20,297,76,4275,248,206,77,2526,1,29
3151,253,11,120,29,124,196,247,189,3060,3,23
3004,14,9,781,78,5532,212,222,147,6191,1,29
2521,154,18,90,12,1034,239,238,122,1634,3,4
3124,133,16,201,25,108,244,230,109,4161,2,22
3047,117,6,90,0,3779,231,234,136,339,1,23
3225,106,15,90,-17,2455,245,220,99,3951,2,23
3009,314,29,234,83,1931,129,202,206,1641,3,33
2906,1,23,42,9,324,180,190,142,2236,1,29
3220,112,7,582,72,5842,232,233,133,1559,1,29
2628,340,28,95,45,942,149,187,169,2308,1,29
2778,95,13,330,17,1489,241,220,106,1064,3,11
2251,312,34,272,3,1008,110,193,213,902,4,10
2862,316,20,153,19,1434,163,219,194,1237,3,33
3255,288,9,67,12,4836,195,239,184,2833,3,32
2353,359,12,210,70,1293,202,218,153,1033,4,11
2456,338,13,283,5,955,192,222,168,983,4,6
2938,198,2,258,21,3744,218,241,159,4669,1,12
2958,128,16,300,69,1620,245,228,108,1879,3,31
3265,169,10,228,25,3320,228,244,148,1282,3,32
3361,220,26,785,139,3515,180,253,198,2567,1,39
2551,30,23,120,33,2435,207,184,104,677,3,10
2984,355,15,212,25,216,194,212,155,560,3,31
2765,111,7,85,6,932,233,232,131,2357,3,11
2751,55,16,90,19,2483,228,205,106,4152,1,12
2755,29,12,150,42,2911,216,213,131,6396,1,29
2811,75,22,371,155,390,241,194,74,1681,1,30
3207,107,13,360,53,3141,242,224,109,994,3,32
3133,78,30,713,28,842,242,169,35,1813,1,30
2628,187,6,382,197,1958,221,244,158,524,3,2
2346,46,15,283,168,955,223,206,112,1370,4,1
2955,67,22,30,-9,4652,236,191,76,2457,1,29
2905,246,19,421,119,2160,177,251,209,1935,3,33
2570,238,9,376,91,2363,204,248,181,474,3,2
2827,40,7,0,0,408,221,224,138,285,3,23
3109,99,21,85,26,878,249,205,73,1020,1,30
2850,59,8,256,92,3598,227,223,130,5923,1,12
3044,129,7,190,17,6517,231,236,137,2971,1,29
2063,240,14,0,0,577,192,251,195,808,4,6
2985,259,13,811,89,5989,188,247,197,5791,1,29
2809,255,7,258,18,2274,205,244,178,2171,1,12
3184,104,6,60,2,4209,230,233,136,768,3,23
2654,51,6,150,3,1328,223,227,139,6127,1,12
1960,86,7,0,0,30,231,228,130,153,4,1
3184,352,13,60,9,4163,196,217,158,2014,3,22
2763,42,6,480,4,1672,221,227,141,765,1,23
2592,18,19,300,103,2073,201,196,126,642,3,10
2910,28,8,313,2,3357,217,223,141,3937,1,12
3008,0,0,934,99,5803,218,238,156,5653,1,20
3172,138,12,42,10,5200,239,236,125,1110,1,29
3114,331,6,618,-71,892,205,232,166,1087,2,23
2988,229,16,342,79,5263,194,253,193,1339,1,30
3229,11,14,313,30,421,204,210,141,1266,2,23
3085,134,13,134,16,1273,240,233,120,3363,3,33
2635,112,9,60,3,170,235,231,127,646,1,30
3041,57,16,175,33,4026,229,206,105,2581,1,29
2437,286,27,256,157,256,134,227,228,1679,4,10
3213,67,14,685,-10,1113,233,211,106,1973,1,29
2489,322,3,0,0,1237,212,236,162,1357,3,17
3037,121,4,190,55,6254,227,236,144,3399,1,30
3004,349,4,484,170,5502,213,233,158,5091,1,12
3120,124,11,210,-8,1020,238,232,124,1782,1,22
2706,143,36,90,39,3064,244,206,57,6240,1,30
2964,17,11,366,11,819,211,218,142,1974,1,29
3019,92,6,242,39,2539,230,230,133,474,1,29
2767,241,34,150,58,2292,135,243,229,755,3,13
3161,343,6,60,6,4981,207,230,162,2704,1,23
3183,68,10,781,78,1001,231,220,121,1846,1,29
3219,217,12,400,60,450,206,252,180,1921,2,23
2998,167,20,60,-2,6346,232,243,133,3400,1,30
2777,5,3,216,26,859,216,234,155,1963,3,11
3052,33,5,201,6,3127,219,229,147,395,1,22
3309,180,9,420,83,1034,224,246,155,960,3,32
2741,175,10,108,19,992,226,246,151,474,3,2
2863,230,30,268,17,832,159,250,214,541,3,13
2818,34,3,175,24,2026,219,232,149,2898,1,12
3086,40,7,150,2,3515,221,224,138,1332,1,29
3280,333,26,255,59,2151,153,198,179,3089,1,39
2529,89,13,255,43,430,239,219,108,1282,3,2
2898,107,17,134,18,2430,247,217,92,534,3,13
2871,300,25,339,81,2244,144,221,214,513,3,33
2934,28,19,484,121,2761,209,194,115,1573,3,10
2894,25,15,150,54,484,211,205,127,247,3,31
2958,55,9,30,5,3663,226,221,128,1706,1,23
2389,124,28,108,48,342,253,206,59,815,3,4
2804,9,12,360,49,1797,206,216,146,1149,3,10
2989,354,4,108,6,1804,212,232,157,3529,1,23
2572,110,15,60,8,934,245,221,101,342,1,29
2875,195,24,541,43,792,207,251,166,1698,3,4
3126,63,8,0,0,5310,227,224,131,2139,1,23
2969,51,25,324,99,1878,223,176,73,3026,3,32
2831,113,17,124,40,1485,247,221,96,1864,3,11
2622,31,20,270,71,1599,210,192,111,1618,3,10
3100,3,4,85,1,4535,214,232,155,3254,1,22
3223,72,5,268,16,4822,226,230,138,2145,1,22
2894,206,23,95,12,1020,199,254,179,1898,3,33
2887,115,21,824,157,2942,251,215,82,1677,3,10
3137,140,14,90,1,1138,240,235,121,2376,1,29
2886,253,11,313,54,997,196,247,189,1798,3,11
2649,230,32,120,-62,768,156,249,215,799,3,3
2903,72,11,518,147,1442,233,218,116,1652,3,32
2802,334,21,85,7,1595,169,208,176,1732,3,13
2643,264,35,382,160,953,115,232,242,1650,3,28
2743,151,14,30,-3,1440,237,239,128,1445,3,4
2930,6,9,170,17,3690,209,222,151,4380,1,12
2890,11,1,242,10,3807,217,236,156,3600,1,29
2834,7,11,201,36,3827,207,218,148,5497,1,29
3238,139,5,272,84,1456,228,238,144,1980,1,29
3178,186,12,816,-40,870,222,248,158,2047,3,33
3445,82,2,582,50,2591,221,236,151,1660,3,38
3084,51,3,247,25,1237,221,232,148,1443,2,23
2921,4,12,553,44,573,204,218,150,1025,3,31
3113,93,20,85,20,4140,247,205,78,2912,1,29
2789,302,16,90,28,1959,173,231,197,3228,1,30
2298,15,9,180,65,1440,212,221,146,671,4,2
2884,216,29,150,58,2367,179,252,195,2028,3,13
3087,151,12,153,18,1231,235,240,134,3342,3,33
3181,185,8,30,0,3207,222,246,158,1233,3,23
3027,212,15,335,16,5791,206,253,179,2230,1,29
2848,337,8,30,-7,2662,203,229,165,2424,1,23
3135,354,7,335,-42,745,209,228,157,1073,2,22
3244,184,15,180,26,2877,223,249,155,2432,1,29
2994,289,16,42,11,2340,172,236,204,1114,3,20
3207,67,22,42,13,2043,235,191,76,2278,1,29
3278,199,11,309,54,3379,216,250,167,1924,1,29
2602,223,23,234,90,900,184,254,199,1575,3,4
3004,159,14,30,-12,888,234,242,135,819,3,23
2978,180,31,481,41,3631,214,241,136,1296,3,13
3070,202,8,67,-2,1231,217,247,165,1146,1,22
2505,140,12,382,151,553,237,236,128,932,3,3
3185,211,8,95,26,4964,213,248,170,1230,1,29
3162,184,4,268,39,3211,220,242,157,3100,1,29
3288,165,5,210,-2,1651,224,241,152,3238,2,38
2261,116,38,342,-28,560,253,176,14,474,4,1
2439,188,25,85,30,1324,213,248,154,865,3,4
2497,63,13,182,11,300,231,214,113,1207,3,10
2928,83,10,379,21,3463,234,223,120,4547,1,12
2628,108,7,162,22,1784,232,232,133,984,3,11
2302,196,24,297,121,1207,207,251,166,1132,4,3
3020,9,8,255,22,3721,211,224,150,2174,1,29
2908,87,5,285,28,3772,227,231,138,3963,1,12
2974,80,23,150,24,2940,243,192,67,1222,3,33
3021,111,16,277,69,4004,246,221,98,2343,1,29
2510,324,14,192,41,150,183,224,180,424,4,6
2983,270,5,808,171,1131,207,241,173,2239,3,32
3428,231,19,514,-24,1613,187,254,199,3783,2,33
2940,270,28,824,561,900,135,236,233,2142,3,28
3253,54,14,277,63,5572,228,209,111,1208,1,29
2926,72,18,90,6,1865,237,202,89,2307,3,32
3016,359,30,335,11,2293,161,170,135,2955,3,31
3388,84,15,90,29,3515,240,212,98,2533,1,37
3377,286,23,295,84,2277,149,232,220,2315,3,33
2940,113,18,150,43,3789,248,219,94,5184,1,30
2267,264,26,42,12,510,145,241,229,1731,4,4
2647,84,13,0,0,2541,238,217,107,1100,3,20
2961,280,20,134,24,5703,160,237,215,1855,1,29
3231,135,10,324,26,3282,236,236,131,4589,1,39
3126,249,8,162,14,3583,203,246,182,1055,1,29
2995,165,3,417,10,5152,222,240,154,5355,1,12
2652,306,2,446,99,696,213,238,162,1167,3,2
3064,75,13,30,0,4245,235,216,110,2753,1,29
2710,3,23,510,208,939,182,188,138,677,3,33
3007,164,17,731,120,2912,233,243,135,1880,3,33
3037,171,5,339,53,3103,223,242,154,540,3,32
2769,310,8,283,34,1490,197,234,177,2405,1,29
3279,135,6,295,-11,1543,229,237,142,3260,2,38
3037,27,11,150,18,1025,215,217,137,175,3,24
2718,51,10,150,41,150,225,219,127,2007,1,29
3030,358,8,404,51,5281,208,226,155,1110,1,29
3016,28,14,283,86,2135,214,210,129,2296,3,32
2258,210,7,0,0,1673,215,246,167,937,4,17
3230,34,5,60,-9,764,219,228,146,1054,2,19
2943,300,11,60,10,2534,188,235,188,636,3,33
3102,1,18,190,-5,1359,191,203,147,366,3,24
2778,115,7,256,19,1930,232,233,134,953,1,12
3134,28,15,212,58,1142,213,207,127,899,1,22
3197,50,4,30,-1,4243,221,231,146,1722,1,23
3179,203,17,1040,88,4184,209,253,174,1203,3,33
2902,193,25,42,15,1206,209,250,162,569,3,33
2661,37,20,277,69,859,216,193,105,2958,1,29
3424,115,17,30,-9,3180,247,222,98,1077,3,35
2472,6,9,391,62,466,210,223,151,1055,4,10
2809,122,15,95,22,660,244,227,109,124,1,30
3082,31,11,150,9,1425,217,216,133,3042,3,31
2923,212,15,351,44,2550,206,253,179,2193,3,26
3265,119,22,319,107,1652,251,215,80,2738,1,30
2492,9,6,270,-12,841,214,228,152,4764,1,18
3060,63,14,228,39,3962,232,211,108,4133,1,29
2652,206,33,120,64,2845,180,248,180,1213,3,4
2307,310,30,162,97,942,124,203,212,671,4,5
3509,294,15,175,95,2958,177,235,198,1983,1,40
2958,139,17,85,22,1739,243,233,113,488,3,32
3136,68,3,467,92,4668,222,234,148,1889,1,20
2902,267,26,210,105,2568,145,240,229,1632,3,33
2696,312,36,85,62,2559,104,189,213,6751,1,29
3080,99,13,319,95,3690,241,221,108,2581,1,30
2716,62,5,277,27,268,224,230,142,957,3,11
3321,122,12,488,74,1337,241,230,117,2249,3,32
3188,115,14,134,15,4588,244,225,107,2001,1,23
3280,112,10,421,56,1290,238,229,121,2291,1,29
2494,22,8,228,32,268,215,224,145,1103,3,10
2578,105,13,382,147,404,241,224,110,201,3,2
2660,28,10,268,35,309,216,217,136,331,3,11
3312,126,15,511,116,350,244,229,111,400,2,32
2652,92,12,426,26,1692,239,221,110,2202,3,2
3141,212,8,30,4,765,214,247,170,2341,2,19
3011,211,23,255,105,2676,194,254,186,1699,3,33
3271,11,4,124,6,949,216,232,153,2278,1,38
3357,68,5,430,35,1031,225,230,139,2526,3,32
2838,45,3,552,219,524,220,232,149,792,3,32
2533,19,24,150,39,2252,194,181,114,685,3,10
2973,81,9,95,19,5163,233,224,123,2449,1,29
3044,61,17,150,36,5589,232,203,99,4482,1,29
3136,16,14,150,28,4189,207,209,137,1694,1,23
2321,269,25,150,51,990,146,239,228,258,4,6
3048,2,7,216,5,1575,210,226,154,2822,1,29
3188,297,34,270,192,700,108,207,229,2214,1,30
2929,40,8,551,10,4340,221,223,137,4518,1,29
3268,121,13,30,7,1253,241,229,116,1128,3,31
2620,79,17,67,11,1230,240,207,92,532,1,30
2890,333,11,400,39,2348,196,226,170,2557,1,29
3214,5,18,900,197,1943,194,201,142,2343,3,24
3094,274,11,240,15,1790,190,243,192,931,3,23
2838,128,14,42,9,2296,243,230,113,789,3,13
3413,91,14,646,256,1578,241,218,104,916,3,40
3095,306,13,30,4,3797,183,232,189,1064,3,22
2956,30,14,731,91,2310,215,208,126,1302,3,24
3083,273,5,480,-25,6391,207,241,173,2854,1,29
2873,222,19,497,252,716,192,254,193,1697,3,32
3081,319,9,90,17,2497,197,232,175,1973,3,32
2997,120,8,228,34,256,234,234,132,1230,1,22
3142,120,13,120,10,6447,241,229,115,2081,1,29
2452,20,12,60,8,306,211,213,137,1224,4,11
2589,97,10,0,0,1518,236,226,120,1140,3,2
2884,188,24,120,44,541,214,249,155,1188,3,13
3031,204,16,0,0,2538,210,253,173,1158,3,23
2957,332,11,60,9,420,193,225,172,934,2,22
2728,340,9,258,13,1194,201,227,165,1986,3,11
2584,105,7,408,129,446,232,232,133,242,3,2
3100,243,20,297,73,1140,177,252,208,2784,3,33
2906,331,14,42,10,836,186,222,175,2042,1,23
2933,153,1,450,57,3406,220,238,155,3701,1,12
3000,12,23,134,31,2353,190,188,128,1987,3,32
2873,171,6,67,-5,1442,225,243,153,2694,3,13
2916,46,20,360,69,457,222,192,97,1637,1,29
2941,135,3,0,0,1482,224,238,149,2363,3,20
3207,296,12,738,4,1489,185,236,191,1266,3,31
2166,253,35,180,82,1273,122,238,239,531,4,1
2673,36,13,60,4,1868,219,210,124,2359,3,17
2865,125,9,216,29,2964,236,234,128,2395,1,12
2989,107,22,175,53,3762,251,207,72,2724,1,29
2927,320,18,182,72,591,171,220,188,1756,3,24
3241,62,11,85,22,2613,230,216,118,2694,1,29
2667,30,22,295,11,1830,207,187,108,2163,3,24
2982,26,17,150,21,1231,210,201,123,1020,3,24
3212,33,10,636,60,930,218,219,136,2003,3,32
3023,152,8,618,113,2154,230,240,142,2506,3,32
2225,303,34,124,135,295,107,200,222,566,4,10
3075,179,17,256,21,2389,225,248,150,3315,3,33
2936,108,26,815,303,2601,253,200,58,1706,3,10
2662,48,17,277,15,765,224,202,106,1842,1,23
2934,262,19,218,81,3159,170,246,213,1762,3,4
3047,172,7,67,6,2465,225,244,152,3787,1,23
2726,346,21,0,0,1530,174,202,163,1699,3,13
3041,351,23,810,15,900,173,195,155,1385,3,24
3137,307,26,192,68,4280,139,214,211,1015,1,22
2611,66,13,162,1,864,232,214,111,706,1,9
3065,20,19,0,0,4924,204,197,125,2930,1,29
3204,6,9,811,84,2028,210,223,151,2349,3,31
2931,281,7,400,-44,1172,200,241,180,342,3,32
2965,130,11,162,13,4279,239,234,123,2002,1,30
3182,66,6,0,0,1566,227,227,135,1613,1,29
3285,52,17,594,184,3231,226,202,104,618,3,24
2992,94,7,443,104,2391,231,230,132,1702,3,32
3134,25,4,671,53,1760,218,231,150,2790,3,23
3136,20,21,300,60,726,201,191,120,1643,3,33
2712,170,25,242,103,1861,229,241,128,1358,3,4
3220,294,11,67,7,4294,189,237,189,499,3,24
2976,75,16,466,169,474,238,209,98,1024,1,29
3108,98,13,297,46,600,240,222,110,525,3,31
3127,259,11,247,43,5662,194,246,191,2718,1,30
2722,44,21,180,23,201,220,189,95,297,1,20
3162,315,8,134,14,4858,199,234,174,2599,1,29
3121,67,22,108,21,1482,236,192,77,1383,1,29
3207,32,9,42,-5,2373,218,220,137,2888,1,22
3398,132,12,752,159,2911,239,234,123,2255,3,39
2886,89,24,30,-12,1158,248,193,60,1543,3,33
3139,124,20,342,-74,1387,249,221,92,2234,1,23
2953,233,5,335,32,2131,212,244,170,2037,3,32
3227,333,11,350,79,771,195,226,170,1926,1,29
2916,28,20,277,17,660,208,192,114,124,3,33
2602,18,12,108,6,892,211,215,139,6154,1,29
2661,141,10,295,1,1218,236,237,131,459,1,23
2925,220,14,67,-3,1022,203,253,184,537,3,23
2799,15,17,127,23,2391,202,201,133,2916,1,29
2637,246,9,120,60,1358,201,247,184,1410,3,11
